Datatype,R_mean,R_std,RMSE_mean,RMSE_std
SMILES,0.10357211848935906,0.42011137502482443,0.2705036229198271,0.06599914103109926
BigSMILES,0.1035725977610077,0.4201112100575916,0.2705958120606172,0.06597115865404851
SELFIES,0.10541110681689571,0.41846804613045346,0.26618029520759917,0.06692047801299238
AUG_SMILES,0.1037173182262313,0.41995752878172454,0.2705036150533776,0.06599913851816061
BRICS,0.2661783463165424,0.34814711317903885,0.23142348136788488,0.0693738684764956
MANUAL,0.839201807639517,0.09192657941043138,0.14821759907031162,0.05162020191079242
AUG_MANUAL,0.8421321655687655,0.09158852207378107,0.14682038645754175,0.05178577812643542
FINGERPRINT,-0.11321775323305176,0.2825327585503398,0.2667468557442494,0.06671009591909785
SUM_OF_FRAGS,0.4860793648732943,0.4254504153915255,0.2046994382416241,0.07880604895653254
