Polymer,Solvent,SD_EXP,Train_Error_0,Test_Error_0,Train_Error_1,Test_Error_1,Train_Error_2,Test_Error_2
PDMS,Hexane,41.41,0.4337745403371592,0.862081618309021,0.4514623082365971,0.8039244889128798,0.45384441249423496,0.8463245553072387
PEBAX,Hexane,8.75,0.04043398295065642,0.18620193574084454,0.044116837086678996,0.11825006614170136,0.05673591293507008,0.07764061806355382
PAN,Hexane,0.17,0.01745859481994882,0.06588902707261741,0.014440232055968847,0.05033978736412875,0.023242375670456093,0.037874274121711904
PES,Hexane,1.25,0.039164217174960915,0.09083355393720134,0.04876751866239415,0.09328616453458867,0.0670830029700334,0.05427360169049164
PSf,Hexane,1.19,0.03282281264933106,0.07968401296558553,0.035839681178845534,0.06715028697873156,0.03852896793244153,0.03788493108650111
P84,Hexane,1.15,0.025546491832724786,0.05114518414850497,0.024510056870746626,0.04762596300099828,0.03293349296771029,0.047617602201897175
Matrimid,Hexane,3.57,0.07562086240612349,0.17920796470887795,0.07621572099116773,0.18427364232081056,0.09070337681915241,0.13189458588820646
PEI,Hexane,0.83,0.03205825757925576,0.03374627751794954,0.0351252237482235,0.04114449110557325,0.03584469527477238,0.07085422802160837
PDMS,Toluene,35.18,0.32808869328515533,0.5836060031275346,0.3144356484321244,0.564887124946431,0.28805195230711256,0.6155415163160337
PAN,Toluene,2.25,0.027338191028464225,0.024330574714362094,0.022092490761649774,0.016583758324834996,0.03657209417523919,0.023318101490748713
PES,Toluene,5.04,0.0380692060718848,0.26171940518543124,0.05810372421385008,0.004026651304454079,0.06113636998916519,0.21960352465458244
PSf,Toluene,17.61,0.183591919214479,0.3020739800838275,0.20536931300817188,0.2971607677862048,0.19815178593789953,0.3568300361176523
P84,Toluene,3.29,0.040096313272500766,0.042859656236142435,0.04025641371500526,0.0901476335581392,0.04422244088688546,0.1551729934712251
Matrimid,Toluene,19.28,0.14347596758091333,0.27688099717983333,0.1327696009298723,0.3001558497232838,0.16737415694558663,0.29306340010385223
PEI,Toluene,4.13,0.040650350622675975,0.007098828908286836,0.04162703426181372,0.02606729547431072,0.04962475353188111,0.11292313766084791
PTMSP,EA,16.91,0.021831166153907733,0.01062721802216643,0.01926565034661612,0.038307006694919765,0.026241847725173757,0.0648870041842543
PDMS,EA,26.91,0.1535081224917388,0.25265962247674656,0.1601013582090711,0.2673597648301979,0.15259632049126495,0.28087962319848897
PEBAX,EA,15.65,0.029069486352528113,0.018522083461284644,0.02395980093054347,0.005243763404942758,0.024334896894767994,0.029615342397167344
PAN,EA,0.27,0.06014982752662276,0.0984362864807869,0.07422041562680139,0.06862915483342173,0.0466454676914425,0.22272370506533248
PES,EA,8.63,0.02251375986516051,0.12358367532491682,0.025991844026452337,0.049918786716855124,0.04143171080069091,0.0677397970141222
PSf,EA,9.2,0.014643661416520862,0.017634213397589832,0.014826008175059982,0.02615281546471035,0.01004374335148842,0.035805755397280925
P84,EA,4.0,0.056320497842992624,0.10830717131495476,0.063702904799353,0.09513193165241843,0.06556142093584491,0.15504444455182176
Matrimid,EA,15.08,0.03864953756532474,0.0691495608154995,0.04194227120680752,0.020421267053555847,0.03599301824142714,0.06489701117515101
PEI,EA,6.15,0.02056740587701658,0.03149611545610931,0.0173376597081832,0.029623679815750342,0.032128928251397106,0.046315279058358166
PTMSP,MEK,18.07,0.042961524717738425,0.08695965800667182,0.03019340867770351,0.10183500570599874,0.038856683440971505,0.11555825228231881
PDMS,MEK,21.08,0.0732976539060849,0.12390931545912826,0.06771474593650938,0.20074068799969697,0.06922020442068037,0.12967652129072277
PEBAX,MEK,19.32,0.06812586250133626,0.177979228302878,0.09027635837538268,0.11862764911496115,0.08897381518480829,0.12199828310170524
PAN,MEK,0.3,0.051337713481933646,0.12056862218476211,0.06534721157081509,0.07754001788645853,0.05907844297024748,0.07164354742962557
PES,MEK,11.79,0.021706066630454657,0.09141901516608508,0.02372455733636224,0.08453448668421054,0.03404436196814452,0.007454385271384645
PSf,MEK,11.17,0.04594763500626655,0.06818161477334797,0.04397257774366517,0.10290543785331838,0.05645939100100462,0.07574700509224624
P84,MEK,5.43,0.023048834732703156,0.02828515838910317,0.0274965163680707,0.03887632766064006,0.03174271115093372,0.053493123700569994
Matrimid,MEK,17.01,0.05285904441469264,0.1489587306730651,0.0659849297425238,0.13111832100228116,0.07556159090968043,0.08602980289053319
PEI,MEK,6.94,0.012158027907767988,0.007838678788393727,0.010219699788796069,0.022532013068038176,0.007486110523609563,0.022220817191239195
PTMSP,Acetone,12.92,0.025633014362059708,0.024543481642632592,0.0222460055189255,0.07302199785146368,0.031469857483668456,0.018804747623094975
PDMS,Acetone,9.28,0.10619389638601984,0.1907547767127254,0.08360826860818919,0.17195863298546316,0.10938659412580483,0.13457768650372087
PEBAX,Acetone,12.98,0.018729316320075667,0.061428575533658714,0.01482603419231567,0.07029284569610733,0.02016226382831345,0.030183484736055255
PAN,Acetone,0.27,0.04858574892482361,0.04720712095758287,0.04028551058531233,0.12626833154469114,0.05419645562633161,0.039106012727599594
PES,Acetone,11.82,0.04417072511427519,0.08096981231332759,0.04696886921848704,0.05923135475897126,0.04282812147208329,0.06956518312531418
PSf,Acetone,7.61,0.01846201126574061,0.026968360311118822,0.017002848004290635,0.0005295231686929525,0.012914086129181837,0.043057062422697245
P84,Acetone,5.94,0.006417436612942325,0.004860501660111677,0.010365907403025823,8.152168604938503e-05,0.016123321984864037,0.011722370099786328
Matrimid,Acetone,15.58,0.05505465513105772,0.12726864443609492,0.06523049470973956,0.09592075305908088,0.06665800659770756,0.08883699982031251
PEI,Acetone,7.17,0.010945634692075453,0.0038210105869569966,0.007439228442188782,0.02074244306879794,0.00952911772588195,0.01130242694208089
PTMSP,IPA,27.51,0.21489435209926797,0.44016340329426407,0.24230854572100424,0.4461824223105796,0.23035578580358887,0.4785233663940647
PDMS,IPA,10.71,0.045275531736387986,0.10120398321897084,0.04173622210385162,0.0772681749929307,0.06764489763021966,0.04803724242959223
PEBAX,IPA,20.51,0.14537415029700645,0.24736166865114742,0.12519351338095608,0.2940987295711692,0.14016965288325753,0.27719911330461666
PAN,IPA,0.0,0.0253306519145583,0.02163016260811128,0.02489302211164739,0.030402641631430014,0.020911574820492204,0.04330341201767679
PES,IPA,2.28,0.029470360626754438,0.02891958536440506,0.03101509934900787,0.018615633095226555,0.02778781965529682,0.0314495965505702
PSf,IPA,1.61,0.041099715490791944,0.02204355145455543,0.03538200180167695,0.0455134255779641,0.02735557650893211,0.07637377277634684
P84,IPA,2.22,0.015597845655248627,0.019044877720314005,0.019665114171061374,0.02592044859473662,0.009638139132135631,0.0503679282905405
Matrimid,IPA,5.22,0.059641140821929804,0.11397411916223252,0.08195842753719351,0.029476988482251915,0.06421100345862026,0.10928315721116053
PEI,IPA,1.12,0.028778835201612073,0.01793769588693976,0.025235450517132718,0.05525106645996372,0.0244294987334857,0.04489222155247603
PTMSP,Ethanol,15.13,0.04672293066193701,0.024358221157443627,0.04003531531876589,0.09613771454191927,0.04109119679257334,0.0004467762294692035
PDMS,Ethanol,3.6,0.16084183440402175,0.22059429554456395,0.17576037904961864,0.31222217727048945,0.1985004666905016,0.28600914261448473
PEBAX,Ethanol,12.29,0.02104655239185968,0.011883441492294256,0.022684859247789266,0.017256507289303336,0.023103842642614097,0.0008321645831068092
PAN,Ethanol,0.33,0.0183940547605291,0.017715528041590003,0.014148815952235452,0.024999028665186197,0.014261510774929662,0.024162378756054134
PES,Ethanol,2.76,0.013926587171035967,0.045618719608478825,0.014246649210984385,0.011908232556035125,0.016375340884935693,0.024277463394457383
PSf,Ethanol,2.28,0.020756768468029065,0.047226466396149386,0.016898696553876286,0.05215116388694678,0.018292185726975108,0.037370215375098936
P84,Ethanol,3.17,0.007443651856676077,0.01740803193983933,0.0049322719372618395,0.003106746160761939,0.009431769614119546,0.006420322074047302
Matrimid,Ethanol,6.3,0.04092513720772136,0.0956168323562791,0.041152948055534135,0.13256450553938665,0.03952731355166191,0.06641085141368486
PEI,Ethanol,1.25,0.016912003864493846,0.05548186929340121,0.01978842013836109,0.04641937262564898,0.01884625518396156,0.03933905991572935
PTMSP,Methanol,2.57,0.15253169463331565,0.2530694026974101,0.1479043330887302,0.3154519773478801,0.20172104660490706,0.28036899731797166
PDMS,Methanol,0.4,0.1889024632863799,0.2185962361342196,0.16646589679702806,0.27245413968822124,0.2260438297628188,0.26232556817270747
PEBAX,Methanol,11.47,0.015450454008594175,0.02635458856344408,0.020836225842472106,0.03183869208457568,0.02196530926408101,0.0054662291379628525
PAN,Methanol,2.91,0.023950526808064285,0.060981278163257505,0.026961332832356872,0.06398696382762864,0.03177375053120041,0.06136911484225613
PES,Methanol,3.29,0.016791610381758044,0.004937664385795321,0.009409935732908055,0.027723660828294333,0.009751086813793976,0.014016419503837821
PSf,Methanol,2.63,0.021374003801608536,0.0230443210657455,0.018120312082911066,0.016989938899253806,0.010568104540392762,0.05174204156420771
P84,Methanol,2.5,0.008814956867769482,0.04373361966994489,0.017179888201015642,0.008923448656375205,0.01348692851002606,0.0074898185462458355
Matrimid,Methanol,8.01,0.02203805728241424,0.045665297023952,0.012045719685801823,0.05671174449939248,0.02805013115952064,0.010703063157830539
PEI,Methanol,2.28,0.013992976995764607,0.013023310260563747,0.009194554055819171,0.025537566806155446,0.0068603955075288514,0.03109609235872375
PTMSP,Water,0.03,0.1256985948492179,0.2949564841794788,0.14747275502266727,0.2549681382616687,0.12008096286791527,0.37152247337404115
PDMS,Water,0.86,0.15873907240058127,0.4300328492181531,0.16446801012396134,0.33153237509923417,0.16480701903738465,0.35222570047166485
PEBAX,Water,0.3,0.07920916860894998,0.21724344312606572,0.08988087557632202,0.21650100133674016,0.10565781625099928,0.19494840358577978
PES,Water,0.56,0.021185146381675235,0.02085011510277785,0.023437733130351916,0.020853158333206015,0.01876719240203958,0.03383353862638851
PSf,Water,0.96,0.019004264346394018,0.024881069726776325,0.016606556674684584,0.05077760602924371,0.01335926836662641,0.026768576766907547
P84,Water,1.74,0.004023885800274424,0.0037376218816258105,0.003997399616822106,0.022556389681063594,0.004558177090296916,0.006527089191755903
Matrimid,Water,0.99,0.05254209097395302,0.08615374882759837,0.06832027426576355,0.04444160224598212,0.046733496948964615,0.1720373097265621
PEI,Water,0.2,0.017807052903837668,0.027474287805347032,0.02241142281306693,0.027393222489316638,0.020677037255500977,0.025755361940711242
